sequence,functional_domain,source_reference,title,source_scope,spec_path
135,patient-identity-management,UC-Participant-Demographics-12,Manage My Emergency Contacts,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-12-manage-my-emergency-contacts/spec.md
136,patient-identity-management,UC-Participant-Demographics-13,Manage My Carers and Support Persons,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-13-manage-my-carers-and-support-persons/spec.md
137,patient-identity-management,UC-Participant-Demographics-14,Update My Household Information,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-14-update-my-household-information/spec.md
138,patient-identity-management,UC-Participant-Demographics-15,Update My Accessibility Requirements,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-15-update-my-accessibility-requirements/spec.md
139,patient-identity-management,UC-Participant-Demographics-16,Manage My Communication Preferences,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-16-manage-my-communication-preferences/spec.md
140,patient-identity-management,UC-Participant-Demographics-17,Review My Demographic Change History,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-17-review-my-demographic-change-history/spec.md
141,patient-identity-management,UC-Participant-Demographics-18,Receive Confirmation of Demographic Updates,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-18-receive-confirmation-of-demographic-updates/spec.md
142,patient-identity-management,UC-Participant-Demographics-29,Complete My Demographic Profile,Scope – Participant Demographics,openspec/specs/patient-identity-management/uc-participant-demographics-29-complete-my-demographic-profile/spec.md
143,patient-identity-management,UC-Participant-Relationship-1,View My Relationships,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-1-view-my-relationships/spec.md
144,patient-identity-management,UC-Participant-Relationship-2,Add a Relationship,Scope – Participant Relationships,openspec/specs/patient-identity-management/uc-participant-relationship-2-add-a-relationship/spec.md
